name,t_cases,n_cases,t_deaths,n_deaths,t_recovered,active_cases,serious_condition,n_test,Continent,last_updated_on_website,time_date_now
World,"1,983,219","+59,371","125,145","+5,527","466,606","1,391,468","50,943",,All,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
North America,"645,389","+18,325","26,828","+1,716","49,057","569,504","13,935",,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Asia,"321,049","+10,809","11,721",+370,"155,669","153,659","6,475",,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Italy,"162,488","+2,972","21,067 ",+602,"37,130","104,291","3,186","1,073,689",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Germany,"131,359","+1,287","3,294 ",+100,"68,200","59,865","4,288","1,317,887",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
China,"82,249",+89,"3,341 ",,"77,738","1,170",116,,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Turkey,"65,111","+4,062","1,403 ",+107,"4,799","58,909","1,809","443,626",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Belgium,"31,119",+530,"4,157 ",+254,"6,868","20,094","1,223","102,151",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Canada,"26,897","+1,217",898 ,+118,"8,172","17,827",557,"437,475",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Brazil,"24,232",+802,"1,378 ",+50,"3,046","19,808",296,"62,985",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Portugal,"17,448",+514,567 ,+32,347,"16,534",218,"182,707",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Austria,"14,226",+185,384 ,+16,"7,633","6,209",243,"151,796",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
India,"11,487","+1,034",393 ,+35,"1,359","9,735",,"206,212",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Sweden,"11,445",+497,"1,033 ",+114,381,"10,031",915,"54,700",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Peru,"10,303",+519,230 ,+14,"2,869","7,204",132,"102,216",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Oceania,"7,857",+58,70,+4,"4,227","3,560",85,,Australia/Oceania,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Ecuador,"7,603",+74,355 ,,696,"6,552",121,"25,347",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Romania,"6,879",+246,351 ,+20,"1,051","5,477",241,"70,097",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Denmark,"6,511",+193,299 ,+14,"2,515","3,697",100,"74,210",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Czechia,"6,111",+52,161 ,+18,642,"5,308",92,"131,542",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Saudi Arabia,"5,369",+435,73 ,+8,889,"4,407",59,"150,000",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Mexico,"5,014",+353,332 ,+36,"1,964","2,718",207,"37,395",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
UAE,"4,933",+412,28 ,+3,933,"3,972",1,"648,195",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Serbia,"4,465",+411,94 ,+9,400,"3,971",131,"23,398",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Qatar,"3,428",+197,7  ,,373,"3,048",37,"52,622",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Luxembourg,"3,307",+15,67 ,,500,"2,740",30,"29,523",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Belarus,"3,281",+362,33 ,+4,203,"3,045",57,"71,875",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Finland,"3,161",+97,64 ,+5,300,"2,797",74,"47,290",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Thailand,"2,613",+34,41 ,+1,"1,405","1,167",61,"100,498",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Egypt,"2,350",+160,178 ,+14,589,"1,583",,"25,000",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Greece,"2,170",+25,101 ,+2,269,"1,800",76,"48,798",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Moldova,"1,934",+222,38 ,+3,134,"1,762",80,"6,271",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Iceland,"1,720",+9,8 ,,989,723,8,"36,339",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Bahrain,"1,522",+161,7 ,+1,645,870,3,"69,359",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Iraq,"1,400",+22,78 ,,766,556,,"45,437",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
New Zealand,"1,366",+17,9 ,+4,628,729,4,"64,399",Australia/Oceania,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Kazakhstan,"1,232",+141,14 ,+2,203,"1,015",21,"76,904",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Azerbaijan,"1,197",+49,13 ,+1,351,833,25,"71,736",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Bosnia and Herzegovina,"1,083",+46,40 ,+1,236,807,4,"12,407",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Armenia,"1,067",+28,16 ,+2,265,786,30,"8,316",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Bangladesh,"1,012",+209,46 ,+7,42,924,1,"13,128",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Cameroon,848,,14 ,+2,130,704,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Oman,813,+86,4 ,,130,679,3,,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Tunisia,747,+21,34 ,,43,670,89,"12,415",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Afghanistan,714,+49,23 ,+2,40,651,,,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Diamond Princess,712,,12 ,,639,61,7,,,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Latvia,657,+2,5 ,,16,636,3,"29,018",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Lebanon,641,+9,21 ,+1,80,540,33,"16,319",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Ghana,636,+70,8 ,,17,611,2,"44,421",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Niger,548,,13 ,,86,449,,"4,399",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Uruguay,483,,8 ,,248,227,15,"9,236",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Channel Islands,440,+4,13 ,+4,48,379,,"3,320",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Honduras,407,+10,26 ,+1,7,374,10,"1,600",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Taiwan,393,,6 ,,124,263,,"48,549",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Réunion,391,, ,,40,351,3,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Djibouti,363,+65,2 ,,53,308,,"5,356",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Bolivia,354,+24,28 ,+1,6,320,3,"2,185",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Mauritius,324,,9 ,,51,264,3,"8,279",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Senegal,299,+8,2 ,,183,114,1,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Montenegro,283,+9,4 ,+1,46,233,7,"2,869",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Isle of Man,254,+12,2 ,,141,111,13,"2,122",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Sri Lanka,233,+16,7 ,,61,165,1,"4,768",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Kenya,216,+8,9 ,,41,166,2,"8,123",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Faeroe Islands,184,, ,,163,21,,"5,602",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Paraguay,159,+12,7 ,+1,22,130,1,"3,394",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
El Salvador,149,+12,6 ,,25,118,2,"7,230",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Mali,144,+21,13 ,+3,34,97,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Rwanda,134,+7, ,,49,85,,"6,237",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Cambodia,122,, ,,91,31,1,"5,768",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Madagascar,108,+2, ,,23,85,1,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Aruba,92,, ,,32,60,1,"1,154",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Ethiopia,82,+8,3 ,,14,65,,"4,557",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Togo,77,,3 ,,32,42,,"2,806",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Barbados,72,,4 ,,13,55,4,839,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Congo,60,,5 ,,5,50,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Liberia,59,,6 ,,4,49,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Gabon,57,,1 ,,1,55,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Cayman Islands,54,,1 ,,6,47,3,580,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Tanzania,53,+4,3 ,,7,43,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Bahamas,49,,8 ,,6,35,1,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Zambia,45,,2 ,,30,13,1,"1,696",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Equatorial Guinea,41,+20, ,,4,37,,854,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Guinea-Bissau,38,, ,,,38,,"1,500",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Eritrea,34,, ,,,34,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Saint Martin,32,,2 ,,11,19,5,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Syria,29,+4,2 ,,5,22,,,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Libya,26,,1 ,,9,16,,545,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Chad,23,, ,,2,21,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Angola,19,,2 ,,5,12,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Belize,18,,2 ,,,16,1,567,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Zimbabwe,17,,3 ,,,14,,604,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Nepal,16,+2, ,,1,15,,"6,299",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Fiji,16,, ,,,16,,,Australia/Oceania,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Saint Lucia,15,, ,,4,11,,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Curaçao,14,,1 ,,10,3,,230,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Botswana,13,,1 ,,,12,,"3,115",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
St. Vincent Grenadines,12,, ,,1,11,,87,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Falkland Islands,11,+6, ,,1,10,,137,South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Montserrat,11,, ,,1,10,1,36,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Sierra Leone,11,+1, ,,,11,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Suriname,10,,1  ,,6,3,,,South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
MS Zaandam,9,,2 ,,,7,,,,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Nicaragua,9,,1 ,,4,4,,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Mauritania,7,,1 ,,2,4,,527,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Timor-Leste,6,+2, ,,1,5,,,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Burundi,5,,1 ,,,4,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Sao Tome and Principe,4,, ,,,4,,19,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Anguilla,3,, ,,1,2,,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Caribbean Netherlands,3,, ,,,3,,10,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Saint Pierre Miquelon,1,, ,,,1,,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Europe,"934,904","+27,518","83,313","+3,324","243,117","608,474","29,107",,Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
USA,"603,496","+16,555","25,195 ","+1,555","38,144","540,157","12,828","3,036,007",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Spain,"172,541","+2,442","18,056 ",+300,"67,504","86,981","7,371","600,000",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
France,"143,303","+6,524","15,729 ",+762,"28,805","98,769","6,730","333,807",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
UK,"93,873","+5,252","12,107 ",+778,N/A,"81,422","1,559","382,650",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Iran,"74,877","+1,574","4,683 ",+98,"48,129","22,065","3,691","287,359",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
South America,"56,523","+1,829","2,328",+80,"10,587","43,608","1,156",,South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Netherlands,"27,419",+868,"2,945 ",+122,250,"24,224","1,358","134,972",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Switzerland,"25,936",+248,"1,174 ",+36,"13,700","11,062",386,"199,000",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Russia,"21,102","+2,774",170 ,+22,"1,694","19,238",8,"1,400,000",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Africa,"16,776",+832,871,+33,"3,310","12,595",178,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Israel,"12,046",+460,123 ,+7,"2,195","9,728",175,"117,339",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Ireland,"11,479",+832,406 ,+41,25,"11,048",194,"90,646",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
S. Korea,"10,564",+27,222 ,+5,"7,534","2,808",55,"527,438",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Chile,"7,917",+392,92 ,+10,"2,646","5,179",387,"87,794",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Japan,"7,645",+27,143 ,,799,"6,703",135,"78,702",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Poland,"7,202",+268,263 ,+18,618,"6,321",160,"148,321",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Norway,"6,623",+20,139 ,+5,32,"6,452",59,"128,569",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Australia,"6,400",+41,61 ,,"3,598","2,741",80,"366,493",Australia/Oceania,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Pakistan,"5,837",+341,96 ,+3,"1,378","4,363",46,"69,928",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Philippines,"5,223",+291,335 ,+20,295,"4,593",1,"43,500",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Malaysia,"4,987",+170,82 ,+5,"2,478","2,427",60,"84,791",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Indonesia,"4,839",+282,459 ,+60,426,"3,954",,"31,628",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Panama,"3,472",,94 ,,61,"3,317",106,"15,567",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Ukraine,"3,372",+270,98 ,+5,119,"3,155",45,"35,153",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Dominican Republic,"3,286",+119,183 ,+6,162,"2,941",143,"9,275",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Singapore,"3,252",+334,10 ,+1,611,"2,631",29,"72,680",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Colombia,"2,852",,112 ,,319,"2,421",106,"43,053",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
South Africa,"2,415",+143,27 ,,410,"1,978",7,"87,022",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Argentina,"2,277",,102 ,+4,559,"1,616",83,"22,805",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Algeria,"2,070",+87,326 ,+13,691,"1,053",60,"3,359",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Morocco,"1,888",+125,126 ,,217,"1,545",1,"9,609",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Croatia,"1,704",+54,31 ,+6,415,"1,258",34,"18,359",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Hungary,"1,512",+54,122 ,+13,122,"1,268",58,"35,825",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Estonia,"1,373",+41,31 ,+3,115,"1,227",11,"32,263",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Kuwait,"1,355",+55,3 ,+1,176,"1,176",26,,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Slovenia,"1,220",+8,56 ,+1,152,"1,012",35,"35,946",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Uzbekistan,"1,113",+115,4 ,,99,"1,010",8,"70,000",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Lithuania,"1,070",+8,29 ,+5,101,940,14,"42,690",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Hong Kong,"1,013",+3,4 ,,434,575,13,"96,709",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
North Macedonia,908,+54,44 ,+6,86,778,15,"9,262",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Slovakia,835,+66,2 ,,113,720,5,"30,052",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Cuba,766,+40,21 ,,132,613,9,"18,634",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
,721,,14,,639,68,7,,,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Bulgaria,713,+28,35 ,+3,81,597,29,"18,502",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Cyprus,695,+33,12 ,,65,618,8,"17,923",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Andorra,646,,29 ,,128,489,17,"1,673",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Ivory Coast,638,+12,6 ,,114,518,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Costa Rica,618,+6,3 ,,66,549,14,"8,703",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Burkina Faso,515,,27 ,,161,327,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Albania,475,+8,24 ,+1,248,203,5,"4,306",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Kyrgyzstan,430,+11,5 ,,71,354,5,"26,147",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Jordan,397,+6,7 ,,235,155,5,"20,500",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Malta,393,+9,3 ,,44,346,4,"19,121",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
San Marino,371,,36 ,,53,282,15,846,Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Guinea,363,+44, ,,31,332,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Nigeria,343,,10 ,,91,242,2,"5,000",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Palestine,308,,2 ,,62,244,,"17,329",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Georgia,296,+24,3 ,,69,224,6,"3,271",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Vietnam,266,+1, ,,169,97,8,"121,821",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
DRC,241,+6,20 ,,20,201,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Mayotte,217,+10,3 ,,69,145,3,"1,500",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Venezuela,189,,9 ,,110,70,6,"203,108",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Guatemala,167,+11,5 ,,19,143,3,"1,134",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Martinique,157,,6 ,,50,101,19,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Guadeloupe,145,,8 ,,67,70,13,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Brunei ,136,,1 ,,107,28,2,"10,350",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Gibraltar,129,, ,,93,36,1,"1,649",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Trinidad and Tobago,113,,8 ,,17,88,,"1,152",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Monaco,93,,1 ,,6,86,5,,Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
French Guiana,86,, ,,51,35,1,,South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Liechtenstein,79,,1 ,,55,23,,900,Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Jamaica,73,,4 ,,19,50,,"1,199",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Myanmar,63,+1,4 ,,2,57,,"2,443",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Somalia,60,,2  ,,2,56,2,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Bermuda,57,,5 ,,30,22,3,416,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
French Polynesia,55,, ,,,55,1,920,Australia/Oceania,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Uganda,54,, ,,8,46,,"5,664",Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Sint Maarten,52,+2,9 ,,5,38,2,134,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Guyana,47,,6 ,,8,33,5,213,South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Macao,45,, ,,10,35,1,,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Haiti,40,,3 ,,,37,,365,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Benin,35,,1 ,,18,16,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Sudan,32,+3,5 ,+1,4,23,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Mongolia,30,+13, ,,5,25,,"1,000",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Mozambique,28,+7, ,,2,26,,762,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Antigua and Barbuda,23,,2 ,,3,18,1,73,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Maldives,20,, ,,16,4,,"2,899",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Laos,19,, ,,1,18,,"1,235",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
New Caledonia,18,, ,,1,17,,"2,608",Australia/Oceania,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Malawi,16,,2 ,,,14,1,314,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Dominica,16,, ,,8,8,,345,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Namibia,16,, ,,3,13,,362,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Eswatini,15,, ,,8,7,,714,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Grenada,14,, ,,,14,2,92,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Saint Kitts and Nevis,12,, ,,,12,,233,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
CAR,11,, ,,4,7,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Greenland,11,, ,,11,0,,912,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Seychelles,11,, ,,,11,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Cabo Verde,10,,1 ,,1,8,,,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Turks and Caicos,10,,1 ,,,9,,69,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Gambia,9,,1 ,,2,6,,281,Africa,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Vatican City,8,, ,,2,6,,,Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
St. Barth,6,, ,,4,2,,,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
